 ;3;7;11;15;19;22;26;31;35;39;42;45;49;53;57;60;64;68;71;74;79;82;86;90;91;95;98;100;102;105;109;113;117;120;123;126;130;133;137;141;145;149;153;157;161;165;169;173;174;178;182;185;190;191;193;196;200;203;207;210;214;218;221;223;226;230;233;236;239;243;245;249;253;256;260;264;268;273;277;280;284;288;292;296;299;303;306;310;312;315;318;321;325;329;333;337;341;345;350;354;358;362;365;370;376;382;386;390;395;399;404;407;410;414;418;421;425;429;433;437;440;444;447;450;454;458;462;466;470;474;478;481;485;489;492;496;499;503;507;511;517;520;524;528;532;536;539;542;544;548;552;556;560;
probe\\IMG_001_L_1;0.358621;0.352869;0.427735;0.421376;0.370900;0.356182;0.368380;0.398783;0.367326;0.327330;0.367663;0.320365;0.330407;0.321255;0.341906;0.347367;0.416084;0.404091;0.379813;0.353343;0.373092;0.382375;0.299755;0.319387;0.412895;0.396690;0.348949;0.360946;0.376725;0.374264;0.259588;0.302932;0.338303;0.357972;0.275830;0.298479;0.351019;0.394864;0.315318;0.326580;0.354717;0.358056;0.324642;0.351571;0.292363;0.355172;0.358859;0.348305;0.434026;0.363472;0.288152;0.341779;0.337219;0.444379;0.414347;0.358013;0.326724;0.346772;0.292553;0.303422;0.339524;0.381544;0.350757;0.371929;0.311251;0.349645;0.350909;0.366193;0.337827;0.349224;0.362175;0.384978;0.410276;0.403345;0.356697;0.360695;0.375100;0.374000;0.411571;0.398893;0.405604;0.391191;0.326672;0.338182;0.399493;0.350172;0.374175;0.324382;0.419537;0.313063;0.311319;0.331677;0.340238;0.417606;0.295077;0.347416;0.343987;0.299703;0.352681;0.327369;0.396906;0.397501;0.385006;0.348587;0.386021;0.393433;0.315122;0.400464;0.292621;0.360753;0.327158;0.280792;0.395217;0.378997;0.301313;0.370084;0.257159;0.322050;0.364938;0.363239;0.356240;0.420668;0.361293;0.401704;0.343846;0.354374;0.319473;0.372337;0.388191;0.385137;0.388049;0.388666;0.332444;0.350556;0.326042;0.331935;0.356456;0.292527;0.398692;0.374466;0.308944;0.364565;0.437552;0.392110;0.401685;0.366662;0.355288;0.370616;0.372261;0.374160;0.368968;0.344017;0.339600;
probe\\IMG_001_R_1;0.375772;0.296193;0.434424;0.429778;0.356013;0.345890;0.370875;0.379204;0.385118;0.355936;0.350781;0.350741;0.355325;0.335554;0.361688;0.351463;0.435545;0.432894;0.393227;0.358674;0.400724;0.387024;0.348438;0.313815;0.415157;0.402910;0.352719;0.379523;0.389650;0.389805;0.266302;0.282961;0.395370;0.367280;0.286484;0.348272;0.365271;0.398895;0.335346;0.349273;0.369295;0.347641;0.311339;0.343470;0.340571;0.349391;0.351078;0.348194;0.469699;0.351691;0.309116;0.351748;0.339968;0.412763;0.424123;0.387969;0.312169;0.333010;0.302092;0.323455;0.365935;0.338632;0.366112;0.384197;0.338981;0.362151;0.353116;0.357678;0.346518;0.354441;0.376306;0.419176;0.383511;0.385214;0.403834;0.391676;0.353025;0.373125;0.392456;0.378687;0.379648;0.346863;0.313862;0.321505;0.375192;0.353069;0.337419;0.338853;0.438731;0.312204;0.342869;0.318619;0.383579;0.418370;0.343315;0.334215;0.351499;0.344842;0.351999;0.326440;0.403388;0.392471;0.378401;0.373289;0.404505;0.432035;0.320873;0.418430;0.342397;0.331822;0.341761;0.348440;0.383384;0.375755;0.319894;0.369617;0.318761;0.341140;0.359121;0.358807;0.386271;0.403620;0.370779;0.406934;0.405859;0.359424;0.353798;0.347295;0.393458;0.394631;0.412487;0.366552;0.362495;0.329323;0.344177;0.344780;0.355564;0.288874;0.377829;0.387221;0.345606;0.356319;0.428972;0.390164;0.387860;0.381682;0.348971;0.382171;0.378855;0.337527;0.372495;0.355173;0.349166;
probe\\IMG_002_L_1;0.413855;0.401471;0.353309;0.389722;0.376878;0.401564;0.398113;0.414687;0.411855;0.406682;0.397055;0.432033;0.430082;0.417348;0.415086;0.440749;0.454150;0.440091;0.388682;0.398003;0.426418;0.401191;0.414719;0.429204;0.480620;0.376176;0.366502;0.400324;0.380516;0.384869;0.399466;0.419848;0.374384;0.412559;0.419457;0.375933;0.389210;0.362099;0.401537;0.388268;0.416528;0.423939;0.413344;0.408138;0.421664;0.383672;0.381572;0.381410;0.435764;0.395791;0.350043;0.357711;0.390094;0.403922;0.453041;0.412359;0.346132;0.397973;0.402848;0.403667;0.380021;0.398796;0.408856;0.408149;0.418131;0.397543;0.413563;0.419556;0.428360;0.392331;0.387271;0.343854;0.334322;0.391664;0.346940;0.386547;0.404384;0.402079;0.355026;0.372281;0.358494;0.418322;0.395036;0.394760;0.378291;0.398900;0.395798;0.389584;0.335507;0.395458;0.351875;0.361826;0.361802;0.381375;0.355111;0.402482;0.398297;0.371415;0.400901;0.398244;0.356875;0.426550;0.395198;0.370802;0.313614;0.397030;0.405355;0.393970;0.407012;0.400689;0.370280;0.404392;0.412143;0.376828;0.414229;0.411136;0.393811;0.385059;0.387872;0.411698;0.386663;0.391348;0.326780;0.368393;0.433353;0.417267;0.361005;0.382307;0.323816;0.411396;0.387166;0.416737;0.420286;0.400446;0.429686;0.391023;0.361775;0.427240;0.338046;0.406688;0.413277;0.403623;0.354268;0.385126;0.341793;0.369869;0.404421;0.411804;0.418497;0.410592;0.393834;0.387544;0.403167;
probe\\IMG_002_R_1;0.397136;0.387643;0.331951;0.257802;0.411196;0.406944;0.411977;0.416789;0.407767;0.420749;0.417837;0.422364;0.451739;0.402660;0.431911;0.440381;0.404732;0.427928;0.394109;0.380557;0.396604;0.372489;0.389299;0.428340;0.477718;0.346887;0.402344;0.446289;0.427551;0.363987;0.389748;0.370806;0.327584;0.406964;0.415062;0.423453;0.373100;0.349035;0.418028;0.433203;0.396182;0.429758;0.391496;0.425194;0.420933;0.397344;0.407569;0.400012;0.441189;0.394223;0.414080;0.416551;0.393741;0.358773;0.350436;0.355812;0.402331;0.394428;0.398599;0.428635;0.396561;0.405821;0.381995;0.419681;0.408070;0.420807;0.406438;0.425457;0.431846;0.418018;0.421041;0.377029;0.376305;0.411605;0.344681;0.388287;0.375788;0.397291;0.395112;0.411518;0.378392;0.412974;0.421633;0.379684;0.413919;0.371473;0.385808;0.407104;0.371870;0.413040;0.424225;0.437591;0.385027;0.376451;0.384983;0.410817;0.433682;0.388841;0.392252;0.436908;0.374037;0.379896;0.365822;0.371765;0.387890;0.375530;0.415089;0.384780;0.429593;0.394398;0.365113;0.389746;0.420698;0.394772;0.398961;0.392735;0.401342;0.416717;0.402871;0.385734;0.405224;0.399882;0.358362;0.331513;0.415797;0.406056;0.414620;0.403797;0.390043;0.395675;0.352986;0.411652;0.429044;0.423010;0.414423;0.429848;0.379652;0.398263;0.374021;0.392485;0.413359;0.413386;0.325505;0.351052;0.413343;0.334963;0.417862;0.433397;0.439261;0.415727;0.403345;0.407583;0.379534;
probe\\IMG_003_L_1;0.355055;0.373015;0.404505;0.442476;0.310769;0.344136;0.371231;0.370991;0.360040;0.341099;0.340099;0.368071;0.333385;0.341602;0.317334;0.363912;0.429212;0.406277;0.344199;0.370061;0.404038;0.401423;0.310570;0.346663;0.454344;0.356915;0.328474;0.366721;0.333632;0.394452;0.387363;0.376980;0.370495;0.344990;0.304680;0.328498;0.345825;0.380730;0.336946;0.348533;0.383532;0.355961;0.335802;0.363584;0.329104;0.358474;0.354632;0.337335;0.424456;0.361108;0.360379;0.346949;0.350250;0.425711;0.471925;0.350426;0.318219;0.367089;0.332461;0.329230;0.350592;0.358492;0.346665;0.357404;0.362486;0.345195;0.319597;0.367463;0.350775;0.318129;0.321969;0.307733;0.347996;0.342344;0.302225;0.366236;0.373258;0.388585;0.322287;0.342960;0.345118;0.340842;0.340803;0.340303;0.314892;0.356102;0.344505;0.363179;0.349488;0.354777;0.324776;0.353162;0.362092;0.390906;0.323445;0.343120;0.344596;0.321451;0.308177;0.341256;0.324045;0.419308;0.329217;0.355478;0.326259;0.391441;0.321765;0.362425;0.311152;0.335551;0.302426;0.346812;0.353167;0.357804;0.333596;0.364000;0.340564;0.310549;0.338151;0.363855;0.351694;0.356619;0.319681;0.349320;0.359331;0.363622;0.373426;0.395317;0.352846;0.345811;0.350921;0.369039;0.332588;0.368421;0.356005;0.341641;0.356654;0.340552;0.302927;0.340218;0.330481;0.392243;0.401541;0.395018;0.339291;0.353339;0.354260;0.368698;0.337590;0.358696;0.348063;0.347476;0.337690;
probe\\IMG_003_R_1;0.348161;0.320534;0.398804;0.444663;0.335354;0.309459;0.348384;0.332886;0.327299;0.339241;0.344768;0.320475;0.319597;0.334981;0.351268;0.341876;0.440329;0.425911;0.345472;0.318089;0.391458;0.393166;0.297291;0.295024;0.433009;0.343960;0.350743;0.352442;0.340742;0.376106;0.315751;0.323823;0.376754;0.337060;0.309322;0.286554;0.345801;0.369475;0.311815;0.319095;0.358050;0.333333;0.292469;0.320577;0.324722;0.318179;0.343586;0.337009;0.390039;0.357549;0.331060;0.362075;0.341805;0.421265;0.429504;0.341731;0.291281;0.307748;0.318721;0.322035;0.321964;0.341851;0.314231;0.351332;0.301320;0.325108;0.330332;0.334246;0.310938;0.339369;0.284162;0.362578;0.347339;0.329226;0.324532;0.330490;0.354777;0.353437;0.349931;0.336336;0.348535;0.350692;0.338970;0.320743;0.357401;0.301315;0.309153;0.334458;0.352765;0.353455;0.337180;0.311942;0.350820;0.392157;0.307748;0.343684;0.322721;0.309266;0.346729;0.295315;0.377582;0.413785;0.328893;0.309045;0.362304;0.399871;0.283784;0.367576;0.305387;0.315262;0.321955;0.278677;0.354279;0.343326;0.306611;0.347943;0.301574;0.302218;0.324432;0.341998;0.344496;0.375340;0.394471;0.344427;0.379064;0.322944;0.335769;0.341665;0.357731;0.338734;0.357891;0.377396;0.324099;0.341432;0.330456;0.317493;0.299944;0.304231;0.353740;0.318927;0.324471;0.308555;0.371044;0.396636;0.375899;0.323987;0.323541;0.341182;0.327170;0.330914;0.350169;0.339866;0.315337;
probe\\IMG_004_L_1;0.376159;0.392077;0.384810;0.396350;0.388043;0.373823;0.354588;0.359682;0.404673;0.387453;0.371967;0.397716;0.366681;0.386957;0.366852;0.387915;0.425720;0.427933;0.386683;0.365754;0.357660;0.401858;0.329223;0.389290;0.438374;0.374201;0.400015;0.413705;0.383556;0.376852;0.370709;0.376540;0.365322;0.375549;0.376585;0.399651;0.370401;0.370024;0.371914;0.397678;0.361386;0.373426;0.357770;0.381229;0.383506;0.363540;0.381449;0.384701;0.433012;0.368303;0.400495;0.400079;0.388753;0.397177;0.376554;0.387662;0.370755;0.354526;0.389874;0.394849;0.362548;0.383601;0.382266;0.379310;0.385777;0.369301;0.388862;0.390850;0.349606;0.364498;0.371494;0.356695;0.395707;0.361175;0.346502;0.381891;0.372457;0.404365;0.367649;0.357180;0.372310;0.375235;0.398620;0.358929;0.393444;0.382212;0.363459;0.387778;0.385017;0.378655;0.359813;0.384544;0.374913;0.415893;0.353825;0.348208;0.380946;0.361277;0.378374;0.359509;0.340883;0.415262;0.346353;0.353615;0.369625;0.384771;0.372621;0.379235;0.350962;0.360157;0.371632;0.367307;0.373451;0.381794;0.388251;0.400146;0.390778;0.358439;0.373828;0.365897;0.386677;0.371434;0.387251;0.365708;0.390386;0.377007;0.379061;0.415945;0.368766;0.371742;0.377710;0.372395;0.357070;0.400523;0.400034;0.384371;0.378585;0.379183;0.375237;0.393728;0.340790;0.358471;0.363042;0.418864;0.372668;0.396121;0.388895;0.393942;0.383678;0.370550;0.378842;0.395841;0.343545;
probe\\IMG_004_R_1;0.379609;0.395334;0.399333;0.413678;0.353322;0.331315;0.368051;0.297056;0.378637;0.353830;0.362014;0.371481;0.339507;0.370809;0.343579;0.380206;0.402723;0.432547;0.375288;0.384303;0.408612;0.424162;0.353882;0.375949;0.463583;0.349276;0.357008;0.361873;0.339406;0.376656;0.354140;0.361092;0.368901;0.328001;0.345804;0.335485;0.358866;0.366069;0.354856;0.376345;0.367849;0.374340;0.354630;0.324845;0.365058;0.326989;0.361277;0.357805;0.392312;0.384209;0.358253;0.390211;0.372234;0.432269;0.446819;0.353479;0.346877;0.364098;0.370661;0.361158;0.368614;0.357331;0.369394;0.369454;0.344585;0.376920;0.361579;0.363940;0.355877;0.320456;0.351198;0.358423;0.383969;0.341451;0.351734;0.332280;0.361614;0.326974;0.340562;0.365910;0.379619;0.355247;0.317981;0.363238;0.368237;0.316216;0.349026;0.312189;0.371341;0.310616;0.351694;0.333304;0.357611;0.399977;0.330628;0.333695;0.364567;0.337359;0.344054;0.319472;0.362593;0.419911;0.355064;0.344825;0.343872;0.360839;0.346335;0.355446;0.358171;0.344880;0.344223;0.357236;0.375519;0.350206;0.372314;0.366323;0.379454;0.324441;0.364262;0.380982;0.388738;0.343275;0.337749;0.349153;0.381729;0.365269;0.327661;0.322767;0.359282;0.348452;0.380994;0.390110;0.365479;0.349241;0.377063;0.341669;0.349175;0.331005;0.342900;0.336696;0.352845;0.353963;0.393203;0.404966;0.372576;0.329521;0.390935;0.305110;0.370754;0.359608;0.323883;0.376939;0.324459;
probe\\IMG_005_L_1;0.349038;0.303030;0.410301;0.394891;0.373896;0.359753;0.367569;0.356197;0.326728;0.308263;0.365345;0.324088;0.339173;0.313400;0.361461;0.357266;0.367192;0.424246;0.365184;0.324587;0.375968;0.372050;0.322282;0.338872;0.385828;0.394233;0.363163;0.337279;0.349988;0.415332;0.296837;0.312092;0.395996;0.381364;0.314958;0.328236;0.337028;0.361178;0.343309;0.342402;0.341313;0.356179;0.324943;0.315304;0.334069;0.366158;0.346996;0.362158;0.413342;0.339921;0.357769;0.367641;0.293149;0.409230;0.397685;0.359946;0.335351;0.314005;0.337427;0.328027;0.335124;0.372151;0.338990;0.353652;0.335939;0.354864;0.336464;0.358443;0.352871;0.351984;0.345553;0.390232;0.358435;0.367456;0.371634;0.360000;0.343275;0.337800;0.376160;0.384546;0.365944;0.371458;0.339745;0.346186;0.351669;0.313645;0.316768;0.320513;0.421940;0.344880;0.343832;0.322823;0.387996;0.390114;0.328926;0.339590;0.343602;0.318554;0.353119;0.316840;0.364132;0.340044;0.391939;0.358407;0.393664;0.351259;0.292755;0.374750;0.330145;0.329011;0.333561;0.329814;0.367212;0.371599;0.337178;0.367605;0.317932;0.332540;0.343354;0.346007;0.341450;0.386440;0.390142;0.413647;0.353420;0.311453;0.360428;0.364294;0.365522;0.382324;0.398117;0.372343;0.346951;0.320055;0.326172;0.324412;0.315370;0.314965;0.379931;0.385434;0.341314;0.294338;0.399734;0.388606;0.378297;0.389301;0.319627;0.331008;0.367584;0.321785;0.357480;0.353770;0.308409;
